# device profiles: one block per voltage, blank-line separated
# block header lines start with '# V ='
# x[m] n[m-3] p[m-3] phi[V] E[V/m] R[m-3s-1] mun[m2/Vs] mup[m2/Vs] nt[m-3] pt[m-3] Jn[A/m2] Jp[A/m2]
# V = 0.000000
6.075000e-08 3.051106e+11 1.575133e+00 -3.164058e+00 -2.685880e+07 -1.705393e-22 5.000000e-09 5.000000e-09 1.239605e+12 6.399484e+00 -2.268616e-23 -1.084500e-34
6.125000e-08 5.129336e+11 9.369434e-01 -3.150629e+00 -2.685880e+07 1.203038e-21 5.000000e-09 5.000000e-09 2.083946e+12 3.806633e+00 -2.230558e-23 -5.924563e-35
6.175000e-08 8.623134e+11 5.573261e-01 -3.137200e+00 -2.685880e+07 -4.872115e-22 5.000000e-09 5.000000e-09 3.503393e+12 2.264316e+00 2.555022e-23 3.915070e-35
6.225000e-08 1.449670e+12 3.315167e-01 -3.123770e+00 -2.685880e+07 5.561814e-22 5.000000e-09 5.000000e-09 5.889658e+12 1.346893e+00 1.084904e-22 5.313461e-35
6.275000e-08 2.437098e+12 1.971975e-01 -3.110341e+00 -2.685880e+07 -1.154070e-21 5.000000e-09 5.000000e-09 9.901239e+12 8.011782e-01 -5.114706e-23 5.304144e-36
6.325000e-08 4.097104e+12 1.172999e-01 -3.096911e+00 -2.685880e+07 -1.415705e-21 5.000000e-09 5.000000e-09 1.664508e+13 4.765683e-01 2.531853e-22 -1.272027e-35
6.375000e-08 6.887807e+12 6.977399e-02 -3.083482e+00 -2.685880e+07 2.129810e-22 5.000000e-09 5.000000e-09 2.798189e+13 2.834792e-01 -4.949728e-23 -5.363434e-36
6.425000e-08 1.157937e+13 4.150397e-02 -3.070053e+00 -2.685880e+07 1.244415e-21 5.000000e-09 5.000000e-09 4.703915e+13 1.686232e-01 -6.286985e-23 4.454612e-36
6.475000e-08 1.946654e+13 2.468799e-02 -3.056623e+00 -2.685880e+07 1.346641e-21 5.000000e-09 5.000000e-09 7.907284e+13 1.003029e-01 -8.401497e-22 8.949519e-37
6.525000e-08 3.272599e+13 1.468526e-02 -3.043194e+00 -2.685880e+07 3.073499e-22 5.000000e-09 5.000000e-09 1.329139e+14 5.966359e-02 -6.868826e-22 1.139329e-36
6.575000e-08 5.501698e+13 8.735298e-03 -3.029764e+00 -2.685880e+07 2.715343e-23 5.000000e-09 5.000000e-09 2.233945e+14 3.548995e-02 -7.430800e-23 9.037967e-37
6.625000e-08 9.249127e+13 5.196056e-03 -3.016335e+00 -2.685880e+07 -3.584185e-22 5.000000e-09 5.000000e-09 3.754091e+14 2.111064e-02 5.191874e-21 -2.603401e-36
6.675000e-08 1.554908e+14 3.090792e-03 -3.002906e+00 -2.685880e+07 -1.142860e-21 5.000000e-09 5.000000e-09 6.306968e+14 1.255734e-02 5.948095e-23 3.541657e-37
6.725000e-08 2.614018e+14 1.838510e-03 -2.989476e+00 -2.685880e+07 1.212354e-21 5.000000e-09 5.000000e-09 1.059109e+15 7.469534e-03 5.845474e-21 1.970756e-37
6.775000e-08 4.394532e+14 1.093609e-03 -2.976047e+00 -2.685880e+07 3.409840e-22 5.000000e-09 5.000000e-09 1.777184e+15 4.443136e-03 2.311573e-21 -8.451940e-38
6.825000e-08 7.387824e+14 6.505160e-04 -2.962617e+00 -2.685880e+07 -1.117942e-21 5.000000e-09 5.000000e-09 2.978347e+15 2.642930e-03 2.398851e-20 3.695723e-37
6.875000e-08 1.241997e+15 3.869493e-04 -2.949188e+00 -2.685880e+07 -8.202982e-19 5.000000e-09 5.000000e-09 4.980845e+15 1.572105e-03 -5.858360e-19 1.083796e-37
6.925000e-08 2.087971e+15 2.301707e-04 -2.935759e+00 -2.685880e+07 -8.210543e-19 5.000000e-09 5.000000e-09 8.300669e+15 9.351423e-04 3.892158e-19 -1.035603e-37
6.975000e-08 3.510172e+15 1.369134e-04 -2.922329e+00 -2.574630e+07 -6.167661e-23 5.000000e-09 5.000000e-09 1.375404e+16 5.562548e-04 1.008296e-18 -1.142837e-38
7.033333e-08 1.171068e+09 7.140191e-10 -2.907867e+00 -2.384825e+07 0.000000e+00 3.000503e-08 3.000503e-09 0.000000e+00 0.000000e+00 -5.308376e-24 -1.014166e-42
7.100000e-08 2.120388e+09 3.943454e-10 -2.892519e+00 -2.302182e+07 0.000000e+00 2.943425e-08 2.943425e-09 0.000000e+00 0.000000e+00 4.378546e-24 8.824909e-44
7.166667e-08 3.839268e+09 2.177929e-10 -2.877171e+00 -2.302182e+07 0.000000e+00 2.943425e-08 2.943425e-09 0.000000e+00 0.000000e+00 -2.598010e-24 -1.808143e-44
7.233333e-08 6.951548e+09 1.202847e-10 -2.861823e+00 -2.302182e+07 0.000000e+00 2.943425e-08 2.943425e-09 0.000000e+00 0.000000e+00 -5.896194e-24 -1.927893e-44
